,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,,,,,,
Radar,1003,17654.9,1.19789,62149407,1,17,,,20.76388024,106.937395,,,,,,
Radar,1003,17654.9,1.19757,62159421,1,17,,,20.7639275,106.9373753,,,,,,
Radar,1003,17655,1.19772,62169410,1,17,,,20.76390567,106.9373854,,,,,,
Radar,1003,17655,1.1977,62179413,1,12,,,20.76390862,106.9373842,,,,,,
Radar,1003,17655,1.19768,62189424,1,2,,,20.76391158,106.937383,,,,,,
Radar,1003,17656.1,1.19753,62199406,1,2,,,20.76393733,106.9373835,,,,,,
Radar,1003,17655.7,1.19795,62209420,1,17,,,20.76387399,106.9374059,,,,,,
Radar,1003,17655.4,1.19762,62219408,1,2,,,20.76392175,106.9373828,,,,,,
Radar,1003,17654,1.19735,62229422,1,2,,,20.76395703,106.9373536,,,,,,
Radar,1003,17654.1,1.19755,62239417,1,2,,,20.76392783,106.9373669,,,,,,
Radar,1003,17654.3,1.19758,62249426,1,12,,,20.76392405,106.9373705,,,,,,
Radar,1003,17654.5,1.19749,62259427,1,17,,,20.763938,106.9373667,,,,,,
Radar,1003,17654.8,1.19714,62269419,1,15,,,20.76399066,106.9373478,,,,,,
Radar,1003,17655,1.19742,62279433,1,17,,,20.76394997,106.9373669,,,,,,
Radar,1003,17655.1,1.19738,62289436,1,15,,,20.76395621,106.9373653,,,,,,
Radar,1003,17654,1.19776,62299436,1,10,,,20.76389649,106.937379,,,,,,
Radar,1003,17654.3,1.19752,62309438,1,2,,,20.76393291,106.9373668,,,,,,
Radar,1003,17654.5,1.19757,62319442,1,17,,,20.76392619,106.9373717,,,,,,
Radar,1004,16372.4,1.185,61620973,1,20,,,20.76144393,106.9251746,,,,,,
Radar,1004,16377,1.17855,61629273,1,99574187917,,,20.76233747,106.9248308,,,,,,
Radar,1004,16372.4,1.17884,61639286,1,99574187917,,,20.76228226,106.9248074,,,,,,
Radar,1004,16374.8,1.17945,61649284,1,99574187917,,,20.76220756,106.9248653,,,,,,
