,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",,
AIS,574513615,0,0,0,24741.5,5.6311,61614406,0.364475,1.86113,20.88287924,106.6348941,,
AIS,574000171,0,0,0,33076.9,2.49849,61614712,0.357233,1.86698,20.4679432,106.9700744,,
AIS,357787000,70,182,28,25374.9,2.63172,61614722,0.357913,1.86573,20.50690433,106.8984547,,
AIS,574012575,75,95,14,14731.5,0.595512,61615395,0.363304,1.86504,20.81578588,106.8589206,,
AIS,574002005,20,0,0,13751.8,0.179253,61615427,0.363514,1.86406,20.82781799,106.8027708,,
AIS,538008860,70,141,24,14425.9,0.265169,61615428,0.363575,1.86429,20.83131304,106.8159488,,
AIS,353368000,74,267,35,20533.6,1.99274,61615687,0.360068,1.86679,20.63037674,106.9591882,,
AIS,538007558,70,199,32,50578.6,1.94685,61615900,0.358464,1.87154,20.53847431,107.2313432,,
AIS,574014575,7,37,10,16987.9,0.878431,61615979,0.363091,1.86585,20.80358188,106.9053302,,
AIS,941121212,0,0,0,14656.3,2.30553,61616060,0.359847,1.86548,20.61771437,106.8841308,,
AIS,995741876,147,5,5,17189,1.32061,61616074,0.362056,1.86645,20.74428075,106.9397077,,
AIS,574000000,52,28,13,24841.7,5.62731,61616459,0.364479,1.86111,20.88310842,106.6337482,,
AIS,574012703,0,0,0,26543.1,5.60171,61616514,0.364624,1.86084,20.89141631,106.6182783,,
AIS,941121212,0,0,0,14656.3,2.30553,61616592,0.359847,1.86548,20.61771437,106.8841308,,
AIS,372765000,0,0,0,57911.7,1.92379,61616806,0.358234,1.87276,20.52529628,107.301244,,
AIS,574014565,70,79,14,57196.7,3.91797,61616847,0.354977,1.85694,20.33868392,106.3948248,,
AIS,574013615,0,0,0,37759.2,5.54949,61616848,0.365789,1.8594,20.95816589,106.5357724,,
AIS,941121212,0,0,0,14656.3,2.30553,61616963,0.359847,1.86548,20.61771437,106.8841308,,
AIS,574912255,0,0,0,34442.7,5.53903,61617457,0.365364,1.85973,20.93381519,106.55468,,
AIS,574565733,30,26,6,3194.75,0.83039,61617458,0.361728,1.86405,20.72548773,106.8021978,,
AIS,574013701,70,80,15,13938.8,0.431274,61617500,0.363377,1.86463,20.81996847,106.8354294,,
AIS,574383000,82,129,20,38140.5,1.5904,61617659,0.361266,1.87005,20.69901708,107.1459725,,
AIS,574013074,70,77,10,27139.4,1.78534,61618260,0.36048,1.8681,20.6539826,107.0342457,,
AIS,574905701,0,0,0,21557.3,2.37947,61618478,0.358941,1.86615,20.56580439,106.9225189,,
AIS,563158400,70,147,23,20208.1,1.6678,61618568,0.361081,1.86703,20.68841736,106.9729392,,
AIS,574000000,52,28,13,24776.6,5.63366,61618832,0.364486,1.86113,20.88350949,106.6348941,,
AIS,574512000,80,70,10,39864.5,0.865342,61618861,0.365443,1.86875,20.93834155,107.071488,,
AIS,995741968,152,4,4,18547.1,1.36615,61618932,0.36198,1.8667,20.73992627,106.9540316,,
AIS,574015007,70,71,12,17416.5,1.01734,61619553,0.362826,1.86614,20.7883985,106.921946,,
AIS,574014134,70,78,13,18212.1,5.97549,61620300,0.364114,1.86273,20.86219546,106.7265674,,
AIS,574111524,65,86,13,40044.4,0.819026,61620327,0.365678,1.86857,20.95180606,107.0611747,,
AIS,574321485,0,0,0,1919.3,0.616444,61620434,0.361636,1.86384,20.72021652,106.7901657,,
AIS,574491000,70,112,18,25969.7,2.23962,61620535,0.35886,1.86707,20.56116344,106.9752311,,
AIS,995741797,139,2,2,14691.2,0.0626601,61620586,0.363691,1.86381,20.83795935,106.7884468,,
AIS,574014686,70,77,12,26415.8,5.59653,61620916,0.364595,1.86084,20.88975473,106.6182783,,
AIS,574003260,0,29,11,17008.9,0.929735,61621181,0.362986,1.86594,20.79756582,106.9104868,,
AIS,574003400,90,32,9,17112.7,6.03586,61621367,0.363994,1.86295,20.85531997,106.7391724,,
AIS,574013698,70,71,10,17739.9,0.813894,61621409,0.363301,1.86582,20.81561399,106.9036113,,
AIS,574905701,0,0,0,21557.3,2.37947,61621474,0.358941,1.86615,20.56580439,106.9225189,,
AIS,352003194,0,0,0,14352.4,0.0409644,61621668,0.363641,1.86375,20.83509456,106.7850091,,
AIS,353368000,74,267,35,20572.6,1.99115,61621681,0.36007,1.8668,20.63049133,106.9597612,,
AIS,574014296,70,79,15,24736.8,5.60704,61622286,0.364417,1.86105,20.87955608,106.6303105,,
AIS,574401734,70,72,11,14192.2,0.169973,61622288,0.363585,1.86406,20.83188599,106.8027708,,
AIS,574014485,70,76,13,22368.1,2.31133,61622751,0.35902,1.86642,20.57033076,106.9379888,,
AIS,574513615,0,0,0,24741.5,5.6311,61622858,0.364475,1.86113,20.88287924,106.6348941,,
AIS,574012773,70,80,12,34342.2,5.6689,61623206,0.365793,1.86033,20.95839508,106.5890575,,
AIS,538005897,72,141,25,20737.5,1.53943,61623259,0.36149,1.86713,20.71185134,106.9786688,,
AIS,995741805,139,2,2,14647.7,0.211949,61623492,0.363637,1.86417,20.83486537,106.8090733,,
AIS,995741774,142,2,2,20403.3,5.91946,61623639,0.364383,1.86243,20.87760803,106.7093786,,
AIS,477547400,71,148,24,13925,0.356068,61623640,0.363438,1.86447,20.82346351,106.826262,,
AIS,574263000,0,0,0,18895.3,5.95501,61623682,0.364197,1.86263,20.86695101,106.7208378,,
AIS,574014611,70,109,20,27404.6,6.15788,61623714,0.365657,1.86308,20.95060285,106.7466209,,
AIS,377265000,0,0,0,24830,5.62597,61624006,0.364474,1.8611,20.88282194,106.6331753,,
AIS,574001530,70,79,12,26132.9,5.58938,61624118,0.364542,1.86084,20.88671806,106.6182783,,
AIS,995741877,147,5,5,17009.5,1.29329,61624266,0.36212,1.8664,20.74794768,106.9368429,,
AIS,373481000,70,229,32,39863.3,0.84502,61624351,0.365539,1.86866,20.94384195,107.0663313,,
AIS,538007558,70,199,32,50563.8,1.946,61624621,0.358471,1.87154,20.53887538,107.2313432,,
AIS,574003940,52,41,10,45608.3,3.27598,61624752,0.354295,1.86263,20.2996082,106.7208378,,
AIS,574012575,75,95,14,14714.7,0.594191,61624780,0.363303,1.86504,20.81572858,106.8589206,,
